classifier,candidate_configuration_id,reference_configuration_id,metric,n,df,mean_difference,std_difference,ci95_low,ci95_high,direction_uncertain
decision_tree,BGWO,K43,average_precision,5,4,0.0039508260152627,0.0070769199152284,-0.0048363306616475,0.0127379826921731,True
decision_tree,BGWO,K43,f1,5,4,-0.0092879498173417,0.0223955060359425,-0.0370956433837267,0.0185197437490431,True
decision_tree,BGWO,K43,precision,5,4,-0.0938799335623562,0.2109894316601365,-0.3558579148562217,0.1680980477315092,True
decision_tree,BGWO,K43,recall,5,4,0.0026666666666666,0.0079582242575422,-0.0072147738835554,0.0125481072168887,True
decision_tree,BGWO,K43,roc_auc,5,4,0.0022170760233918,0.0034611014933711,-0.0020804490950564,0.00651460114184,True
decision_tree,BGWO,BPSO-K10,average_precision,5,4,0.0064231574514364,0.0041180829907536,0.0013098820602024,0.0115364328426705,False
decision_tree,BGWO,BPSO-K10,f1,5,4,-0.0075414017951723,0.0252646152234106,-0.0389115649465521,0.0238287613562075,True
decision_tree,BGWO,BPSO-K10,precision,5,4,-0.0743692759244523,0.1813997564113597,-0.2996068227433706,0.1508682708944659,True
decision_tree,BGWO,BPSO-K10,recall,5,4,0.0093333333333333,0.0244267612807483,-0.0209964967416896,0.0396631634083562,True
decision_tree,BGWO,BPSO-K10,roc_auc,5,4,0.0058408187134502,0.0077073796534044,-0.0037291571226701,0.0154107945495707,True
decision_tree,BGWO,MI-K11,average_precision,5,4,0.0010934825726299,0.0027263918926908,-0.0022917800855189,0.0044787452307787,True
decision_tree,BGWO,MI-K11,f1,5,4,-0.0124040310451086,0.0265022567585962,-0.04531092913341,0.0205028670431927,True
decision_tree,BGWO,MI-K11,precision,5,4,-0.1219647945562006,0.2710761254259276,-0.4585502602701436,0.2146206711577423,True
decision_tree,BGWO,MI-K11,recall,5,4,0.0079999999999999,0.0238746727726266,-0.0216443216506661,0.0376443216506661,True
decision_tree,BGWO,MI-K11,roc_auc,5,4,0.0002555555555555,0.0019479347494125,-0.00216312489364,0.0026742360047512,True
logistic_regression,BGWO,K43,average_precision,5,4,-0.0003396423554591,0.0030170715306236,-0.0040858314550399,0.0034065467441217,True
logistic_regression,BGWO,K43,f1,5,4,0.0011375774541345,0.0081811607321081,-0.0090206752904424,0.0112958301987116,True
logistic_regression,BGWO,K43,precision,5,4,0.0001905833308549,0.0039270746188799,-0.004685523841668,0.0050666905033779,True
logistic_regression,BGWO,K43,recall,5,4,0.0446666666666666,0.0957020840362888,-0.0741631656342645,0.1634964989675978,True
logistic_regression,BGWO,K43,roc_auc,5,4,-0.0034995906432748,0.0155521747821156,-0.0228101661640003,0.0158109848774506,True
logistic_regression,BGWO,BPSO-K10,average_precision,5,4,7.854701549530052e-05,0.0038974072215148,-0.004760723217799,0.0049178172487896,True
logistic_regression,BGWO,BPSO-K10,f1,5,4,0.0015458819165383,0.0075095864339889,-0.0077785011999451,0.0108702650330218,True
logistic_regression,BGWO,BPSO-K10,precision,5,4,0.0010657599391768,0.0035030957753204,-0.0032839079672982,0.0054154278456519,True
logistic_regression,BGWO,BPSO-K10,recall,5,4,-1.1102230246251566e-17,0.1151327735944702,-0.142956219985599,0.142956219985599,True
logistic_regression,BGWO,BPSO-K10,roc_auc,5,4,0.0006399415204678,0.0216920321858882,-0.026294273892627,0.0275741569335626,True
logistic_regression,BGWO,MI-K11,average_precision,5,4,-0.0003603629387387,0.004066974952506,-0.0054101793188619,0.0046894534413844,True
logistic_regression,BGWO,MI-K11,f1,5,4,-0.0039715247382381,0.0060855406247795,-0.0115277214416333,0.0035846719651571,True
logistic_regression,BGWO,MI-K11,precision,5,4,-0.0018921932284161,0.0029580639002392,-0.0055651146777294,0.0017807282208971,True
logistic_regression,BGWO,MI-K11,recall,5,4,-0.0419999999999999,0.0638400779726619,-0.1212679264611756,0.0372679264611756,True
logistic_regression,BGWO,MI-K11,roc_auc,5,4,-0.0101442690058479,0.0173149379526907,-0.031643604092836,0.0113550660811401,True
