optimizer,optimizer_runs,candidate_requests,unique_evaluations,decision_tree_fits,optimizer_wall_time_sec,optimizer_cpu_time_sec,pipeline_wall_time_sec,cache_hits,provenance,source_stage
BGWO,5,768,768,3840,325.42544312802784,325.25378715999994,111.89105836400995,0,IMPORTED_HISTORICAL,V0.9-D
BPSO,5,972,972,4860,645.5028752319995,645.218273799,857.1113503500001,0,IMPORTED_HISTORICAL,V0.8-C
