stage,comparison_id,classifier,configuration_id,reference_configuration_id,phase,metric,unit,baseline_mean_across_seeds,reduced_mean_across_seeds,mean_paired_difference,std_paired_difference,ci95_low_paired_difference,ci95_high_paired_difference,mean_relative_change_percent,ci95_low_relative_change_percent,ci95_high_relative_change_percent,beneficial_change_percent,objective_direction,interpretation,scientific_sample_size,statistical_significance_claimed
V0.7-E,decision_tree__mutual_information_select_k_best_k11__vs__none_natural__training__process_cpu_time_sec,decision_tree,mutual_information_select_k_best_k11,none_natural,training,process_cpu_time_sec,seconds,0.14214705744000003,0.0851515117999999,-0.056995545640000124,0.0632786058276526,-0.1355663123527234,0.02157522107272316,-35.15769104229011,-90.01460707584165,19.69922499126143,35.15769104229011,minimize,uncertain,5,False
V0.7-E,decision_tree__mutual_information_select_k_best_k11__vs__none_natural__training__selected_input_bytes,decision_tree,mutual_information_select_k_best_k11,none_natural,training,selected_input_bytes,bytes,9632132.0,2464132.0,-7168000.0,0.0,-7168000.0,-7168000.0,-74.41758480884606,-74.41758480884606,-74.41758480884606,74.41758480884606,minimize,clear_reduction,5,False
V0.7-E,decision_tree__mutual_information_select_k_best_k11__vs__none_natural__training__serialized_model_bytes,decision_tree,mutual_information_select_k_best_k11,none_natural,training,serialized_model_bytes,bytes,4132.0,3402.4,-729.6,18.24280680158621,-752.2514364317165,-706.9485635682836,-17.769134667229117,-19.990718704028282,-15.547550630429951,17.769134667229117,minimize,clear_reduction,5,False
V0.7-E,decision_tree__mutual_information_select_k_best_k11__vs__none_natural__training__throughput_records_sec,decision_tree,mutual_information_select_k_best_k11,none_natural,training,throughput_records_sec,records/second,230973.93827384044,453140.4602252071,222166.52195136668,222012.43924406436,-53498.33101138903,497831.3749141224,106.7967928894893,-22.03302347750096,235.62660925647955,106.7967928894893,maximize,uncertain,5,False
V0.7-E,decision_tree__mutual_information_select_k_best_k11__vs__none_natural__training__wall_time_sec,decision_tree,mutual_information_select_k_best_k11,none_natural,training,wall_time_sec,seconds,0.13378691312027513,0.07973885847975908,-0.05404805464051606,0.05754247461515725,-0.12549647373771095,0.017400364456678828,-35.78030170386389,-88.60994627257784,17.049342864850054,35.78030170386389,minimize,uncertain,5,False
V0.7-E,decision_tree__pairwise_correlation_filter_natural__vs__none_natural__inference__absolute_peak_rss_mib,decision_tree,pairwise_correlation_filter_natural,none_natural,inference,absolute_peak_rss_mib,MiB,155.26578125,155.17265625,-0.09312499999999205,0.10836468365241397,-0.2276775263679347,0.04142752636795061,-0.05996202034087648,-0.1466024993934232,0.02667845871167026,0.05996202034087648,minimize,uncertain,5,False
V0.7-E,decision_tree__pairwise_correlation_filter_natural__vs__none_natural__inference__feature_count,decision_tree,pairwise_correlation_filter_natural,none_natural,inference,feature_count,features,43.0,42.0,-1.0,0.0,-1.0,-1.0,-2.3255813953488373,-2.3255813953488373,-2.3255813953488373,2.3255813953488373,minimize,clear_reduction,5,False
V0.7-E,decision_tree__pairwise_correlation_filter_natural__vs__none_natural__inference__incremental_peak_rss_mib,decision_tree,pairwise_correlation_filter_natural,none_natural,inference,incremental_peak_rss_mib,MiB,0.4025,0.40499999999999997,0.0025000000000000135,0.020539595906443702,-0.02300327677468459,0.028003276774684616,0.7233626588465327,-5.770244781836665,7.21697009952973,-0.7233626588465327,minimize,uncertain,5,False
V0.7-E,decision_tree__pairwise_correlation_filter_natural__vs__none_natural__inference__per_operation_latency_sec,decision_tree,pairwise_correlation_filter_natural,none_natural,inference,per_operation_latency_sec,seconds/operation,0.002882802647031468,0.0032955607040236145,0.00041275805699214613,0.0013737233513911491,-0.0012929447719220658,0.002118460885906358,18.145643274255995,-46.63541403211452,82.92670058062652,-18.145643274255995,minimize,uncertain,5,False
V0.7-E,decision_tree__pairwise_correlation_filter_natural__vs__none_natural__inference__per_record_latency_sec,decision_tree,pairwise_correlation_filter_natural,none_natural,inference,per_record_latency_sec,seconds/record,4.80467107838578e-07,5.492601173372691e-07,6.879300949869108e-08,2.2895389189852488e-07,-2.1549079532034424e-07,3.530768143177264e-07,18.14564327425601,-46.63541403211453,82.92670058062654,-18.14564327425601,minimize,uncertain,5,False
