stage,classifier,configuration_id,seed,phase,metric,unit,repetition_count,mean,median,std,min,max,coefficient_of_variation_percent,feature_count,selected_input_bytes,serialized_model_bytes,workload_sha256,environment_id,measurement_provenance,aggregation_scope
V0.7-E,decision_tree,mutual_information_select_k_best_k11,42,training,per_operation_latency_sec,seconds/operation,10,0.08424739249967388,0.07713276649974432,0.027837881850504155,0.05978960699940217,0.15470748900042963,33.04301892858217,11,2464132,3028,c36faf12e3da995a79953d2c367b051e998d0f28e421c90215559e9dbc54079a,5b390d6532854ad704f8fe56280d2ea9b6cfebd95ced1b804d0e0ec3e1ecf82e,DIRECT_COMPUTATIONAL,ten_measurement_repetitions_within_seed
V0.7-E,decision_tree,mutual_information_select_k_best_k11,42,training,per_record_latency_sec,seconds/record,10,3.0088354464169244e-06,2.7547416607051545e-06,9.942100660894342e-07,2.135343107121506e-06,5.525267464301058e-06,33.04301892858217,11,2464132,3028,c36faf12e3da995a79953d2c367b051e998d0f28e421c90215559e9dbc54079a,5b390d6532854ad704f8fe56280d2ea9b6cfebd95ced1b804d0e0ec3e1ecf82e,DIRECT_COMPUTATIONAL,ten_measurement_repetitions_within_seed
V0.7-E,decision_tree,mutual_information_select_k_best_k11,42,training,throughput_records_sec,records/second,10,356771.4195498204,363010.6704199118,86230.28846433405,180986.7135774031,468308.81494638306,24.169617783044597,11,2464132,3028,c36faf12e3da995a79953d2c367b051e998d0f28e421c90215559e9dbc54079a,5b390d6532854ad704f8fe56280d2ea9b6cfebd95ced1b804d0e0ec3e1ecf82e,DIRECT_COMPUTATIONAL,ten_measurement_repetitions_within_seed
V0.7-E,decision_tree,mutual_information_select_k_best_k11,43,inference,wall_time_sec,seconds,10,1.1627934503998403,1.2260210594995442,0.16669957020362647,0.8536902199994074,1.3363197479993687,14.336129098964639,11,528132,3716,d648dacdb41680c57598f0d85afe241876e5979e1432dad1599208c56b981810,5b390d6532854ad704f8fe56280d2ea9b6cfebd95ced1b804d0e0ec3e1ecf82e,DIRECT_COMPUTATIONAL,ten_measurement_repetitions_within_seed
V0.7-E,decision_tree,mutual_information_select_k_best_k11,43,inference,process_cpu_time_sec,seconds,10,1.2158297617,1.2842172095,0.17544963972836253,0.887119121,1.3941337470000001,14.430444561831171,11,528132,3716,d648dacdb41680c57598f0d85afe241876e5979e1432dad1599208c56b981810,5b390d6532854ad704f8fe56280d2ea9b6cfebd95ced1b804d0e0ec3e1ecf82e,DIRECT_COMPUTATIONAL,ten_measurement_repetitions_within_seed
V0.7-E,decision_tree,mutual_information_select_k_best_k11,43,inference,absolute_peak_rss_mib,MiB,10,153.0,152.94140625,0.2315585989887333,152.64453125,153.2890625,0.1513454895351198,11,528132,3716,d648dacdb41680c57598f0d85afe241876e5979e1432dad1599208c56b981810,5b390d6532854ad704f8fe56280d2ea9b6cfebd95ced1b804d0e0ec3e1ecf82e,DIRECT_COMPUTATIONAL,ten_measurement_repetitions_within_seed
V0.7-E,decision_tree,mutual_information_select_k_best_k11,43,inference,incremental_peak_rss_mib,MiB,10,0.4375,0.375,0.08838834764831845,0.375,0.625,20.203050891044217,11,528132,3716,d648dacdb41680c57598f0d85afe241876e5979e1432dad1599208c56b981810,5b390d6532854ad704f8fe56280d2ea9b6cfebd95ced1b804d0e0ec3e1ecf82e,DIRECT_COMPUTATIONAL,ten_measurement_repetitions_within_seed
V0.7-E,decision_tree,mutual_information_select_k_best_k11,43,inference,per_operation_latency_sec,seconds/operation,10,0.002271080957812188,0.0023945723818350473,0.00032558509805395795,0.0016673637109363426,0.002609999507811267,14.336129098964639,11,528132,3716,d648dacdb41680c57598f0d85afe241876e5979e1432dad1599208c56b981810,5b390d6532854ad704f8fe56280d2ea9b6cfebd95ced1b804d0e0ec3e1ecf82e,DIRECT_COMPUTATIONAL,ten_measurement_repetitions_within_seed
V0.7-E,decision_tree,mutual_information_select_k_best_k11,43,inference,per_record_latency_sec,seconds/record,10,3.7851349296869804e-07,3.990953969725079e-07,5.4264183008992986e-08,2.778939518227238e-07,4.349999179685445e-07,14.336129098964637,11,528132,3716,d648dacdb41680c57598f0d85afe241876e5979e1432dad1599208c56b981810,5b390d6532854ad704f8fe56280d2ea9b6cfebd95ced1b804d0e0ec3e1ecf82e,DIRECT_COMPUTATIONAL,ten_measurement_repetitions_within_seed
V0.7-E,decision_tree,mutual_information_select_k_best_k11,43,inference,throughput_records_sec,records/second,10,2699788.584665771,2506280.8096526554,451337.5201218089,2298851.008225504,3598495.013802703,16.717513463287855,11,528132,3716,d648dacdb41680c57598f0d85afe241876e5979e1432dad1599208c56b981810,5b390d6532854ad704f8fe56280d2ea9b6cfebd95ced1b804d0e0ec3e1ecf82e,DIRECT_COMPUTATIONAL,ten_measurement_repetitions_within_seed
