stage,classifier,configuration_id,phase,metric,unit,seed_count,repetitions_per_seed,mean_within_seed_cv_percent,median_within_seed_cv_percent,max_within_seed_cv_percent,between_seed_mean,between_seed_std,between_seed_cv_percent,variability_level,high_timing_variability,high_variability_threshold_percent,outliers_removed
V0.7-E,decision_tree,mutual_information_select_k_best_k11,inference,absolute_peak_rss_mib,MiB,5,10,0.147673932611653,0.1513454895351198,0.1616491519140332,153.003203125,0.06962905691164979,0.04550823478823806,low,False,20.0,False
V0.7-E,decision_tree,mutual_information_select_k_best_k11,inference,incremental_peak_rss_mib,MiB,5,10,16.92288591455949,15.713484026367723,20.203050891044217,0.4175,0.02877716108305335,6.8927331935457135,high,False,20.0,False
V0.7-E,decision_tree,mutual_information_select_k_best_k11,inference,per_operation_latency_sec,seconds/operation,5,10,28.993139404337136,18.343691555515115,55.19732044502045,0.0023985260117575535,0.0004839831399975697,20.178356941933863,high,True,20.0,False
V0.7-E,decision_tree,mutual_information_select_k_best_k11,inference,per_record_latency_sec,seconds/record,5,10,28.993139404337136,18.343691555515118,55.19732044502045,3.997543352929256e-07,8.06638566662616e-08,20.17835694193386,high,True,20.0,False
V0.7-E,decision_tree,mutual_information_select_k_best_k11,inference,process_cpu_time_sec,seconds,5,10,29.731058761625338,18.22147241253408,56.77016635438441,1.2925645113199997,0.2704954748914732,20.92703865242566,high,True,20.0,False
V0.7-E,decision_tree,mutual_information_select_k_best_k11,inference,throughput_records_sec,records/second,5,10,24.72531399710059,18.57791696495466,47.467100221508474,2774345.2157113226,265057.4798185866,9.55387521053784,high,True,20.0,False
V0.7-E,decision_tree,mutual_information_select_k_best_k11,inference,wall_time_sec,seconds,5,10,28.993139404337136,18.343691555515115,55.19732044502045,1.2280453180198674,0.24779936767875568,20.178356941933863,high,True,20.0,False
V0.7-E,decision_tree,mutual_information_select_k_best_k11,training,absolute_peak_rss_mib,MiB,5,10,0.13232416738864286,0.12473291100739123,0.15066560965689718,157.06984375000002,0.269074624527198,0.1713089018891941,low,False,20.0,False
V0.7-E,decision_tree,mutual_information_select_k_best_k11,training,incremental_peak_rss_mib,MiB,5,10,1.2383900937052803,1.4308948688544703,1.8992658619629905,2.7625,0.008838834764831813,0.3199578195414231,low,False,20.0,False
V0.7-E,decision_tree,mutual_information_select_k_best_k11,training,per_operation_latency_sec,seconds/operation,5,10,31.347920636626803,26.881132930706013,71.20909893389651,0.07973885847975908,0.039255067041379106,49.22953223784062,high,True,20.0,False
V0.7-E,decision_tree,mutual_information_select_k_best_k11,training,per_record_latency_sec,seconds/record,5,10,31.347920636626803,26.88113293070601,71.20909893389651,2.8478163742771098e-06,1.4019666800492538e-06,49.22953223784063,high,True,20.0,False
V0.7-E,decision_tree,mutual_information_select_k_best_k11,training,process_cpu_time_sec,seconds,5,10,32.621527839217215,28.379532065897063,73.07982963790265,0.0851515117999999,0.04320590997691716,50.740038624795396,high,True,20.0,False
V0.7-E,decision_tree,mutual_information_select_k_best_k11,training,throughput_records_sec,records/second,5,10,22.511731371997744,24.169617783044597,39.02872014059396,453140.4602252071,199891.87277239526,44.11256339216557,high,True,20.0,False
V0.7-E,decision_tree,mutual_information_select_k_best_k11,training,wall_time_sec,seconds,5,10,31.347920636626803,26.881132930706013,71.20909893389651,0.07973885847975908,0.039255067041379106,49.22953223784062,high,True,20.0,False
V0.7-E,decision_tree,none_natural,inference,absolute_peak_rss_mib,MiB,5,10,0.15768615007794862,0.16168123621217328,0.20300241844808853,155.26578125,0.06478760276225709,0.04172690353320017,low,False,20.0,False
V0.7-E,decision_tree,none_natural,inference,incremental_peak_rss_mib,MiB,5,10,16.81115825940529,18.31116813540473,20.45298659728948,0.4025,0.013693063937629134,3.4020034627650024,high,False,20.0,False
V0.7-E,decision_tree,none_natural,inference,per_operation_latency_sec,seconds/operation,5,10,19.952790882946708,12.935703758062068,47.95595430400962,0.002882802647031468,0.0004292350977209822,14.889506854136616,high,True,20.0,False
V0.7-E,decision_tree,none_natural,inference,per_record_latency_sec,seconds/record,5,10,19.952790882946708,12.93570375806207,47.95595430400964,4.80467107838578e-07,7.153918295349702e-08,14.889506854136613,high,True,20.0,False
V0.7-E,decision_tree,none_natural,inference,process_cpu_time_sec,seconds,5,10,20.414971576876432,13.20725111044858,48.92540133464893,1.5515697043599999,0.23911978090819563,15.411475245762748,high,True,20.0,False
V0.7-E,decision_tree,none_natural,inference,throughput_records_sec,records/second,5,10,15.034215953722972,11.886173749806881,29.23248909303576,2184640.041072842,226146.14037913017,10.35164311407903,high,True,20.0,False
V0.7-E,decision_tree,none_natural,inference,wall_time_sec,seconds,5,10,19.952790882946708,12.935703758062068,47.95595430400962,1.4759949552801117,0.2197683700331429,14.889506854136616,high,True,20.0,False
V0.7-E,decision_tree,none_natural,training,absolute_peak_rss_mib,MiB,5,10,0.11951308496084108,0.12931129906628175,0.16315289231706387,167.393046875,0.2731342347283896,0.1631694026887218,low,False,20.0,False
V0.7-E,decision_tree,none_natural,training,incremental_peak_rss_mib,MiB,5,10,22.998382983042756,28.747978728803446,28.747978728803446,0.135,0.0055901699437494795,4.140866624999614,high,False,20.0,False
V0.7-E,decision_tree,none_natural,training,per_operation_latency_sec,seconds/operation,5,10,30.32149870497626,32.84078196744718,42.006041495020646,0.13378691312027513,0.021294790948252026,15.916946173283705,high,True,20.0,False
V0.7-E,decision_tree,none_natural,training,per_record_latency_sec,seconds/record,5,10,30.321498704976257,32.84078196744718,42.00604149502064,4.778104040009826e-06,7.605282481518584e-07,15.916946173283714,high,True,20.0,False
V0.7-E,decision_tree,none_natural,training,process_cpu_time_sec,seconds,5,10,31.820424476987956,33.91212840105243,43.52159994863548,0.14214705744000003,0.023188894457284497,16.313313039963898,high,True,20.0,False
V0.7-E,decision_tree,none_natural,training,throughput_records_sec,records/second,5,10,25.18396088062746,23.428398496549047,35.314029075229506,230973.93827384044,42822.13444635295,18.539812225734078,high,True,20.0,False
V0.7-E,decision_tree,none_natural,training,wall_time_sec,seconds,5,10,30.32149870497626,32.84078196744718,42.006041495020646,0.13378691312027513,0.021294790948252026,15.916946173283705,high,True,20.0,False
