stage,classifier,configuration_id,average_precision,f1,recall,feature_count,training_wall_time_sec,inference_per_operation_latency_sec,inference_selected_input_bytes,serialized_model_bytes,is_pareto_optimal,dominated_by,objective_directions,objective_weights_used,composite_score_used,analysis_scope
V0.7-E,decision_tree,none_natural,0.22208384690725302,0.18900476213886785,0.30533333333333335,43,0.13378691312027513,0.002882802647031468,2064132.0,4132.0,True,,average_precision:maximize;f1:maximize;recall:maximize;feature_count:minimize;training_wall_time_sec:minimize;inference_per_operation_latency_sec:minimize;inference_selected_input_bytes:minimize;serialized_model_bytes:minimize,False,False,descriptive_frozen_configuration_pareto_not_optimizer
V0.7-E,decision_tree,pairwise_correlation_filter_natural,0.22208384690725302,0.18900476213886785,0.30533333333333335,42,0.11586775058025522,0.0032955607040236145,2016132.0,4116.0,True,,average_precision:maximize;f1:maximize;recall:maximize;feature_count:minimize;training_wall_time_sec:minimize;inference_per_operation_latency_sec:minimize;inference_selected_input_bytes:minimize;serialized_model_bytes:minimize,False,False,descriptive_frozen_configuration_pareto_not_optimizer
V0.7-E,decision_tree,mutual_information_select_k_best_k11,0.2249411903498859,0.19212084336663468,0.3,11,0.07973885847975908,0.0023985260117575535,528132.0,3402.4,True,,average_precision:maximize;f1:maximize;recall:maximize;feature_count:minimize;training_wall_time_sec:minimize;inference_per_operation_latency_sec:minimize;inference_selected_input_bytes:minimize;serialized_model_bytes:minimize,False,False,descriptive_frozen_configuration_pareto_not_optimizer
V0.7-E,logistic_regression,none_natural,0.051149797360171737,0.08734827100957092,0.42333333333333334,43,0.2999471600998004,0.0023289981429293503,2064132.0,2342.0,False,mutual_information_select_k_best_k11,average_precision:maximize;f1:maximize;recall:maximize;feature_count:minimize;training_wall_time_sec:minimize;inference_per_operation_latency_sec:minimize;inference_selected_input_bytes:minimize;serialized_model_bytes:minimize,False,False,descriptive_frozen_configuration_pareto_not_optimizer
V0.7-E,logistic_regression,pairwise_correlation_filter_natural,0.05114995951986866,0.08734827100957092,0.42333333333333334,42,0.35678575735997586,0.0025417823963279317,2016132.0,2310.0,False,mutual_information_select_k_best_k11,average_precision:maximize;f1:maximize;recall:maximize;feature_count:minimize;training_wall_time_sec:minimize;inference_per_operation_latency_sec:minimize;inference_selected_input_bytes:minimize;serialized_model_bytes:minimize,False,False,descriptive_frozen_configuration_pareto_not_optimizer
V0.7-E,logistic_regression,mutual_information_select_k_best_k11,0.051170517943451344,0.09245737320194357,0.51,11,0.05278584481991857,0.002068227311367252,528132.0,1353.2,True,,average_precision:maximize;f1:maximize;recall:maximize;feature_count:minimize;training_wall_time_sec:minimize;inference_per_operation_latency_sec:minimize;inference_selected_input_bytes:minimize;serialized_model_bytes:minimize,False,False,descriptive_frozen_configuration_pareto_not_optimizer
