stage,comparison_id,classifier,configuration_id,reference_configuration_id,seed,phase,metric,unit,baseline_seed_mean,reduced_seed_mean,paired_difference_reduced_minus_baseline,relative_change_percent,mean_paired_difference,std_paired_difference,ci95_low_paired_difference,ci95_high_paired_difference,mean_relative_change_percent,ci95_low_relative_change_percent,ci95_high_relative_change_percent,scientific_sample_size,sign_convention,comparison_scope
V0.7-E,decision_tree__pairwise_correlation_filter_natural__vs__none_natural__training__absolute_peak_rss_mib,decision_tree,pairwise_correlation_filter_natural,none_natural,44,training,absolute_peak_rss_mib,MiB,167.403515625,167.15,-0.2535156250000057,-0.15143984524668233,-0.32843750000000116,0.11207752160718516,-0.4676001235875477,-0.1892748764124546,-0.1961772306413725,-0.2791062869248,-0.11324817435794497,5,negative_relative_change_is_reduction_positive_is_increase,paired_same_seed_means_after_within_seed_aggregation
V0.7-E,decision_tree__pairwise_correlation_filter_natural__vs__none_natural__training__absolute_peak_rss_mib,decision_tree,pairwise_correlation_filter_natural,none_natural,45,training,absolute_peak_rss_mib,MiB,167.676171875,167.37265625,-0.30351562499998863,-0.18101297376126577,-0.32843750000000116,0.11207752160718516,-0.4676001235875477,-0.1892748764124546,-0.1961772306413725,-0.2791062869248,-0.11324817435794497,5,negative_relative_change_is_reduction_positive_is_increase,paired_same_seed_means_after_within_seed_aggregation
V0.7-E,decision_tree__pairwise_correlation_filter_natural__vs__none_natural__training__absolute_peak_rss_mib,decision_tree,pairwise_correlation_filter_natural,none_natural,46,training,absolute_peak_rss_mib,MiB,167.615625,167.1,-0.515625,-0.30762346887409814,-0.32843750000000116,0.11207752160718516,-0.4676001235875477,-0.1892748764124546,-0.1961772306413725,-0.2791062869248,-0.11324817435794497,5,negative_relative_change_is_reduction_positive_is_increase,paired_same_seed_means_after_within_seed_aggregation
V0.7-E,decision_tree__pairwise_correlation_filter_natural__vs__none_natural__training__incremental_peak_rss_mib,decision_tree,pairwise_correlation_filter_natural,none_natural,42,training,incremental_peak_rss_mib,MiB,0.125,0.1625,0.037500000000000006,30.000000000000004,0.017499999999999998,0.016770509831248424,-0.003323338288983492,0.03832333828898349,13.272727272727272,-2.920525273129053,29.465979818583598,5,negative_relative_change_is_reduction_positive_is_increase,paired_same_seed_means_after_within_seed_aggregation
V0.7-E,decision_tree__pairwise_correlation_filter_natural__vs__none_natural__training__incremental_peak_rss_mib,decision_tree,pairwise_correlation_filter_natural,none_natural,43,training,incremental_peak_rss_mib,MiB,0.1375,0.1375,0.0,0.0,0.017499999999999998,0.016770509831248424,-0.003323338288983492,0.03832333828898349,13.272727272727272,-2.920525273129053,29.465979818583598,5,negative_relative_change_is_reduction_positive_is_increase,paired_same_seed_means_after_within_seed_aggregation
V0.7-E,decision_tree__pairwise_correlation_filter_natural__vs__none_natural__training__incremental_peak_rss_mib,decision_tree,pairwise_correlation_filter_natural,none_natural,44,training,incremental_peak_rss_mib,MiB,0.1375,0.1375,0.0,0.0,0.017499999999999998,0.016770509831248424,-0.003323338288983492,0.03832333828898349,13.272727272727272,-2.920525273129053,29.465979818583598,5,negative_relative_change_is_reduction_positive_is_increase,paired_same_seed_means_after_within_seed_aggregation
V0.7-E,decision_tree__pairwise_correlation_filter_natural__vs__none_natural__training__incremental_peak_rss_mib,decision_tree,pairwise_correlation_filter_natural,none_natural,45,training,incremental_peak_rss_mib,MiB,0.1375,0.1625,0.024999999999999994,18.181818181818176,0.017499999999999998,0.016770509831248424,-0.003323338288983492,0.03832333828898349,13.272727272727272,-2.920525273129053,29.465979818583598,5,negative_relative_change_is_reduction_positive_is_increase,paired_same_seed_means_after_within_seed_aggregation
V0.7-E,decision_tree__pairwise_correlation_filter_natural__vs__none_natural__training__incremental_peak_rss_mib,decision_tree,pairwise_correlation_filter_natural,none_natural,46,training,incremental_peak_rss_mib,MiB,0.1375,0.1625,0.024999999999999994,18.181818181818176,0.017499999999999998,0.016770509831248424,-0.003323338288983492,0.03832333828898349,13.272727272727272,-2.920525273129053,29.465979818583598,5,negative_relative_change_is_reduction_positive_is_increase,paired_same_seed_means_after_within_seed_aggregation
V0.7-E,decision_tree__pairwise_correlation_filter_natural__vs__none_natural__training__per_operation_latency_sec,decision_tree,pairwise_correlation_filter_natural,none_natural,42,training,per_operation_latency_sec,seconds/operation,0.13931590610009154,0.14353788649968918,0.004221980399597647,3.0305085167836934,-0.017919162540019906,0.03753977259174254,-0.06453094666794312,0.02869262158790331,-11.448415781251537,-43.705321380463246,20.80848981796017,5,negative_relative_change_is_reduction_positive_is_increase,paired_same_seed_means_after_within_seed_aggregation
V0.7-E,decision_tree__pairwise_correlation_filter_natural__vs__none_natural__training__per_operation_latency_sec,decision_tree,pairwise_correlation_filter_natural,none_natural,43,training,per_operation_latency_sec,seconds/operation,0.13491279900026712,0.07971820870025112,-0.055194590300016,-40.911307680976,-0.017919162540019906,0.03753977259174254,-0.06453094666794312,0.02869262158790331,-11.448415781251537,-43.705321380463246,20.80848981796017,5,negative_relative_change_is_reduction_positive_is_increase,paired_same_seed_means_after_within_seed_aggregation
V0.7-E,decision_tree__pairwise_correlation_filter_natural__vs__none_natural__training__per_operation_latency_sec,decision_tree,pairwise_correlation_filter_natural,none_natural,44,training,per_operation_latency_sec,seconds/operation,0.16314269470003637,0.10182735640082682,-0.06131533829920954,-37.583870005302714,-0.017919162540019906,0.03753977259174254,-0.06453094666794312,0.02869262158790331,-11.448415781251537,-43.705321380463246,20.80848981796017,5,negative_relative_change_is_reduction_positive_is_increase,paired_same_seed_means_after_within_seed_aggregation
V0.7-E,decision_tree__pairwise_correlation_filter_natural__vs__none_natural__training__per_operation_latency_sec,decision_tree,pairwise_correlation_filter_natural,none_natural,45,training,per_operation_latency_sec,seconds/operation,0.10412205120046565,0.10649273870076285,0.0023706875002972028,2.2768351880937594,-0.017919162540019906,0.03753977259174254,-0.06453094666794312,0.02869262158790331,-11.448415781251537,-43.705321380463246,20.80848981796017,5,negative_relative_change_is_reduction_positive_is_increase,paired_same_seed_means_after_within_seed_aggregation
V0.7-E,decision_tree__pairwise_correlation_filter_natural__vs__none_natural__training__per_operation_latency_sec,decision_tree,pairwise_correlation_filter_natural,none_natural,46,training,per_operation_latency_sec,seconds/operation,0.127441114600515,0.14776256259974616,0.020321447999231163,15.945755075143579,-0.017919162540019906,0.03753977259174254,-0.06453094666794312,0.02869262158790331,-11.448415781251537,-43.705321380463246,20.80848981796017,5,negative_relative_change_is_reduction_positive_is_increase,paired_same_seed_means_after_within_seed_aggregation
V0.7-E,decision_tree__pairwise_correlation_filter_natural__vs__none_natural__training__per_record_latency_sec,decision_tree,pairwise_correlation_filter_natural,none_natural,42,training,per_record_latency_sec,seconds/record,4.9755680750032685e-06,5.126353089274614e-06,1.507850142713457e-07,3.030508516783717,-6.399700907149965e-07,1.340706163990805e-06,-2.304676666712254e-06,1.024736485282261e-06,-11.448415781251535,-43.70532138046324,20.808489817960172,5,negative_relative_change_is_reduction_positive_is_increase,paired_same_seed_means_after_within_seed_aggregation
V0.7-E,decision_tree__pairwise_correlation_filter_natural__vs__none_natural__training__per_record_latency_sec,decision_tree,pairwise_correlation_filter_natural,none_natural,43,training,per_record_latency_sec,seconds/record,4.81831425000954e-06,2.847078882151826e-06,-1.971235367857714e-06,-40.911307680976,-6.399700907149965e-07,1.340706163990805e-06,-2.304676666712254e-06,1.024736485282261e-06,-11.448415781251535,-43.70532138046324,20.808489817960172,5,negative_relative_change_is_reduction_positive_is_increase,paired_same_seed_means_after_within_seed_aggregation
V0.7-E,decision_tree__pairwise_correlation_filter_natural__vs__none_natural__training__per_record_latency_sec,decision_tree,pairwise_correlation_filter_natural,none_natural,44,training,per_record_latency_sec,seconds/record,5.826524810715585e-06,3.6366913000295297e-06,-2.1898335106860556e-06,-37.583870005302714,-6.399700907149965e-07,1.340706163990805e-06,-2.304676666712254e-06,1.024736485282261e-06,-11.448415781251535,-43.70532138046324,20.808489817960172,5,negative_relative_change_is_reduction_positive_is_increase,paired_same_seed_means_after_within_seed_aggregation
