stage,comparison_tier,classifier,phase,metric,unit,candidate_configuration_id,reference_configuration_id,candidate_mean,reference_mean,mean_difference,std_difference,mean_percent_change,ci95_low,ci95_high,n,df,t_critical,aggregation_hierarchy
V1.0-F,primary,decision_tree,training,absolute_peak_rss_mib,MiB,HYBRID-K13,K43,160.615390625,170.421484375,-9.806093750000002,0.07836223745394594,-5.7540263726418654,-9.90339331537864,-9.708794184621365,5,4,2.7764451051977987,ten_repetitions_aggregated_within_seed_before_five_seed_scientific_pairing
V1.0-F,primary,decision_tree,training,incremental_peak_rss_mib,MiB,HYBRID-K13,K43,2.8825000000000003,0.1525,2.73,0.022707377655731047,1816.7532467532467,2.7018050677395506,2.7581949322604493,5,4,2.7764451051977987,ten_repetitions_aggregated_within_seed_before_five_seed_scientific_pairing
V1.0-F,primary,decision_tree,training,inference_latency_sec,seconds,HYBRID-K13,K43,0.032311668200709395,0.10228979101972073,-0.06997812281901133,0.0030525091431223028,-68.39619287736384,-0.07376831338260613,-0.06618793225541654,5,4,2.7764451051977987,ten_repetitions_aggregated_within_seed_before_five_seed_scientific_pairing
V1.0-F,primary,decision_tree,training,per_record_latency_sec,seconds,HYBRID-K13,K43,1.1539881500253353e-06,3.653206822132883e-06,-2.499218672107548e-06,1.0901818368293917e-07,-68.39619287736384,-2.6345826208073615e-06,-2.3638547234077343e-06,5,4,2.7764451051977987,ten_repetitions_aggregated_within_seed_before_five_seed_scientific_pairing
V1.0-F,primary,decision_tree,training,process_cpu_time_sec,seconds,HYBRID-K13,K43,0.03296869539999999,0.10430112510000007,-0.07133242970000006,0.0031401067558758343,-68.37680480878322,-0.07523138706155841,-0.06743347233844171,5,4,2.7764451051977987,ten_repetitions_aggregated_within_seed_before_five_seed_scientific_pairing
V1.0-F,primary,decision_tree,training,throughput_records_sec,records/second,HYBRID-K13,K43,880020.5707267126,279861.4277031987,600159.143023514,38339.68160065783,214.61745601863532,552554.1424811061,647764.1435659218,5,4,2.7764451051977987,ten_repetitions_aggregated_within_seed_before_five_seed_scientific_pairing
V1.0-F,primary,decision_tree,training,wall_time_sec,seconds,HYBRID-K13,K43,0.032311668200709395,0.10228979101972073,-0.06997812281901133,0.0030525091431223028,-68.39619287736384,-0.07376831338260613,-0.06618793225541654,5,4,2.7764451051977987,ten_repetitions_aggregated_within_seed_before_five_seed_scientific_pairing
V1.0-F,primary,decision_tree,inference,absolute_peak_rss_mib,MiB,HYBRID-K13,K43,155.801328125,157.92624999999998,-2.12492187499999,0.1284970422545286,-1.345483440976023,-2.284472020197849,-1.9653717298021307,5,4,2.7764451051977987,ten_repetitions_aggregated_within_seed_before_five_seed_scientific_pairing
V1.0-F,primary,decision_tree,inference,incremental_peak_rss_mib,MiB,HYBRID-K13,K43,0.39249999999999996,0.3975,-0.0050000000000000044,0.018957188610128857,-1.2002164502164514,-0.028538457712497772,0.018538457712497763,5,4,2.7764451051977987,ten_repetitions_aggregated_within_seed_before_five_seed_scientific_pairing
V1.0-F,primary,decision_tree,inference,inference_latency_sec,seconds,HYBRID-K13,K43,0.00417321209429673,0.0041326811201167855,4.053097417994426e-05,0.0020095754701072955,9.662819954499264,-0.0024546864441834355,0.002535748392543324,5,4,2.7764451051977987,ten_repetitions_aggregated_within_seed_before_five_seed_scientific_pairing
