stage,classifier,configuration_id,phase,metric,unit,seed_count,mean_of_seed_means,std_of_seed_means,min_of_seed_means,max_of_seed_means,feature_count,input_dataframe_memory_bytes,numpy_dense_nbytes,serialized_model_bytes,measurement_provenance,aggregation_hierarchy
V1.0-F,decision_tree,BPSO-K10,inference,incremental_peak_rss_mib,MiB,5,0.41500000000000004,0.02236067977499789,0.3875,0.4375,10,480132,480000,3092,DIRECT_COMPUTATIONAL,seeds_are_scientific_units_ten_repetitions_nested
V1.0-F,decision_tree,BPSO-K10,inference,inference_latency_sec,seconds,5,0.0038194282648419176,0.0016194889689885277,0.002194200545312697,0.006181261915028813,10,480132,480000,3092,DIRECT_COMPUTATIONAL,seeds_are_scientific_units_ten_repetitions_nested
V1.0-F,decision_tree,BPSO-K10,inference,monotonic_elapsed_sec,seconds,5,22.0034587128603,6.78233403670248,14.887214997998672,31.579764256802445,10,480132,480000,3092,DIRECT_COMPUTATIONAL,seeds_are_scientific_units_ten_repetitions_nested
V1.0-F,decision_tree,BPSO-K10,inference,per_record_latency_sec,seconds,5,6.365713774736529e-07,2.699148281647547e-07,3.6570009088544945e-07,1.0302103191714689e-06,10,480132,480000,3092,DIRECT_COMPUTATIONAL,seeds_are_scientific_units_ten_repetitions_nested
V1.0-F,decision_tree,BPSO-K10,inference,process_cpu_time_sec,seconds,5,1.99100414832,0.8414941249291369,1.1431123024,3.2094464127999998,10,480132,480000,3092,DIRECT_COMPUTATIONAL,seeds_are_scientific_units_ten_repetitions_nested
V1.0-F,decision_tree,BPSO-K10,inference,standby_gap_sec,seconds,5,5.816786142531783e-07,2.0871228785775636e-07,3.133449354209006e-07,8.12102371128276e-07,10,480132,480000,3092,DIRECT_COMPUTATIONAL,seeds_are_scientific_units_ten_repetitions_nested
V1.0-F,decision_tree,BPSO-K10,inference,throughput_records_sec,records/second,5,1992793.0559303984,646067.0873662888,1208986.3431301415,2770872.878243626,10,480132,480000,3092,DIRECT_COMPUTATIONAL,seeds_are_scientific_units_ten_repetitions_nested
V1.0-F,decision_tree,BPSO-K10,inference,wall_clock_elapsed_sec,seconds,5,21.673294286727906,6.642893909440811,14.750701642036438,30.99396493434906,10,480132,480000,3092,DIRECT_COMPUTATIONAL,seeds_are_scientific_units_ten_repetitions_nested
V1.0-F,decision_tree,BPSO-K10,inference,wall_time_sec,seconds,5,1.9555472715990618,0.8291783521221262,1.1234306792001008,3.164806100494752,10,480132,480000,3092,DIRECT_COMPUTATIONAL,seeds_are_scientific_units_ten_repetitions_nested
V1.0-F,decision_tree,BPSO-K10,training,absolute_peak_rss_mib,MiB,5,159.81578125000001,0.05299530353970988,159.738671875,159.865234375,10,2240132,2240000,3092,DIRECT_COMPUTATIONAL,seeds_are_scientific_units_ten_repetitions_nested
V1.0-F,decision_tree,BPSO-K10,training,incremental_peak_rss_mib,MiB,5,2.6475,0.01045825033167588,2.6375,2.6625,10,2240132,2240000,3092,DIRECT_COMPUTATIONAL,seeds_are_scientific_units_ten_repetitions_nested
V1.0-F,decision_tree,BPSO-K10,training,inference_latency_sec,seconds,5,0.03693713107990334,0.0006047988110405778,0.03642205930082128,0.03792554799947538,10,2240132,2240000,3092,DIRECT_COMPUTATIONAL,seeds_are_scientific_units_ten_repetitions_nested
V1.0-F,decision_tree,BPSO-K10,training,monotonic_elapsed_sec,seconds,5,13.847904665120003,0.5260010845292205,13.353649939599563,14.486402870700113,10,2240132,2240000,3092,DIRECT_COMPUTATIONAL,seeds_are_scientific_units_ten_repetitions_nested
V1.0-F,decision_tree,BPSO-K10,training,per_record_latency_sec,seconds,5,1.3191832528536907e-06,2.159995753716356e-08,1.3007878321721885e-06,1.354483857124121e-06,10,2240132,2240000,3092,DIRECT_COMPUTATIONAL,seeds_are_scientific_units_ten_repetitions_nested
V1.0-F,decision_tree,BPSO-K10,training,process_cpu_time_sec,seconds,5,0.037629184920000024,0.0006165664693917128,0.03671462640000005,0.03821549549999994,10,2240132,2240000,3092,DIRECT_COMPUTATIONAL,seeds_are_scientific_units_ten_repetitions_nested
V1.0-F,decision_tree,BPSO-K10,training,standby_gap_sec,seconds,5,7.705001917202025e-07,1.8207544820998066e-07,5.692330887541175e-07,1.0123534593731164e-06,10,2240132,2240000,3092,DIRECT_COMPUTATIONAL,seeds_are_scientific_units_ten_repetitions_nested
V1.0-F,decision_tree,BPSO-K10,training,throughput_records_sec,records/second,5,768907.5364847822,11668.262229706146,755761.6453312909,785433.612357953,10,2240132,2240000,3092,DIRECT_COMPUTATIONAL,seeds_are_scientific_units_ten_repetitions_nested
V1.0-F,decision_tree,BPSO-K10,training,wall_clock_elapsed_sec,seconds,5,13.695277934074403,0.3703558176705749,13.35365080833435,14.193661546707153,10,2240132,2240000,3092,DIRECT_COMPUTATIONAL,seeds_are_scientific_units_ten_repetitions_nested
V1.0-F,decision_tree,BPSO-K10,training,wall_time_sec,seconds,5,0.03693713107990334,0.0006047988110405778,0.03642205930082128,0.03792554799947538,10,2240132,2240000,3092,DIRECT_COMPUTATIONAL,seeds_are_scientific_units_ten_repetitions_nested
V1.0-F,decision_tree,HYBRID-K13,inference,absolute_peak_rss_mib,MiB,5,155.801328125,0.08325106820002257,155.684765625,155.896484375,13,624132,624000,3140,DIRECT_COMPUTATIONAL,seeds_are_scientific_units_ten_repetitions_nested
V1.0-F,decision_tree,HYBRID-K13,inference,incremental_peak_rss_mib,MiB,5,0.39249999999999996,0.03137475099502783,0.3625,0.425,13,624132,624000,3140,DIRECT_COMPUTATIONAL,seeds_are_scientific_units_ten_repetitions_nested
V1.0-F,decision_tree,HYBRID-K13,inference,inference_latency_sec,seconds,5,0.00417321209429673,0.0015790495235602638,0.0022602655349572842,0.006578609425389459,13,624132,624000,3140,DIRECT_COMPUTATIONAL,seeds_are_scientific_units_ten_repetitions_nested
V1.0-F,decision_tree,HYBRID-K13,inference,monotonic_elapsed_sec,seconds,5,24.287348417739995,6.7345140350581305,14.495571871299035,30.63406540890137,13,624132,624000,3140,DIRECT_COMPUTATIONAL,seeds_are_scientific_units_ten_repetitions_nested
V1.0-F,decision_tree,HYBRID-K13,inference,per_record_latency_sec,seconds,5,6.955353490494549e-07,2.631749205933773e-07,3.767109224928807e-07,1.0964349042315765e-06,13,624132,624000,3140,DIRECT_COMPUTATIONAL,seeds_are_scientific_units_ten_repetitions_nested
V1.0-F,decision_tree,HYBRID-K13,inference,process_cpu_time_sec,seconds,5,2.1849143515200002,0.8362240494523696,1.1880667513,3.4659932108,13,624132,624000,3140,DIRECT_COMPUTATIONAL,seeds_are_scientific_units_ten_repetitions_nested
V1.0-F,decision_tree,HYBRID-K13,inference,standby_gap_sec,seconds,5,6.16024190094322e-07,3.7213646146644487e-07,2.4498294806107877e-07,1.2399897968862205e-06,13,624132,624000,3140,DIRECT_COMPUTATIONAL,seeds_are_scientific_units_ten_repetitions_nested
V1.0-F,decision_tree,HYBRID-K13,inference,throughput_records_sec,records/second,5,1760296.3049618949,674991.4137569509,954879.1938180731,2805005.179306513,13,624132,624000,3140,DIRECT_COMPUTATIONAL,seeds_are_scientific_units_ten_repetitions_nested
V1.0-F,decision_tree,HYBRID-K13,inference,wall_clock_elapsed_sec,seconds,5,23.87331642627716,6.693458979143643,14.260775494575501,30.243330121040344,13,624132,624000,3140,DIRECT_COMPUTATIONAL,seeds_are_scientific_units_ten_repetitions_nested
V1.0-F,decision_tree,HYBRID-K13,inference,wall_time_sec,seconds,5,2.136684592279926,0.8084733560628551,1.1572559538981295,3.368248025799403,13,624132,624000,3140,DIRECT_COMPUTATIONAL,seeds_are_scientific_units_ten_repetitions_nested
