scenario_id,attack_type,attack_rate,attack_severity,classifier,comparison_type,configuration_id,reference_configuration_id,metric,paired_seed_count,mean_difference,std_difference,ci95_low,ci95_high,baseline_mean,configuration_mean,margin_percent,relative_degradation_percent,descriptively_preserved,rate_scenario,selection_performed,scenario_configuration_preserved
value_manipulation__r0p05__medium,value_manipulation,0.05,MEDIUM,logistic_regression,reduced_minus_full_baseline,mutual_information_select_k_best_k11,none_natural,average_precision,5,-0.0032245947580746863,0.0037259537841220366,-0.007850977430793774,0.0014017879146444026,0.05640146577682713,0.053176871018752445,5.0,5.717218007833277,False,False,False,False
value_manipulation__r0p05__medium,value_manipulation,0.05,MEDIUM,logistic_regression,reduced_minus_full_baseline,mutual_information_select_k_best_k11,none_natural,f1,5,-0.001951153133113545,0.0040738843832050335,-0.007009548704587803,0.003107242438360713,0.08944442325542049,0.08749327012230693,5.0,2.1814139575161446,True,False,False,False
value_manipulation__r0p05__medium,value_manipulation,0.05,MEDIUM,logistic_regression,reduced_minus_full_baseline,mutual_information_select_k_best_k11,none_natural,recall,5,0.05266666666666666,0.0313935591412563,0.013686414505457059,0.09164691882787626,0.4286666666666667,0.48133333333333334,10.0,0.0,True,False,False,False
shipping_delivery_manipulation__r0p05__medium,shipping_delivery_manipulation,0.05,MEDIUM,decision_tree,reduced_minus_full_baseline,pairwise_correlation_filter_natural,none_natural,average_precision,5,0.0,0.0,0.0,0.0,0.04983721662591921,0.04983721662591921,5.0,0.0,True,False,False,True
shipping_delivery_manipulation__r0p05__medium,shipping_delivery_manipulation,0.05,MEDIUM,decision_tree,reduced_minus_full_baseline,pairwise_correlation_filter_natural,none_natural,f1,5,0.0,0.0,0.0,0.0,0.04995313683609929,0.04995313683609929,5.0,0.0,True,False,False,True
shipping_delivery_manipulation__r0p05__medium,shipping_delivery_manipulation,0.05,MEDIUM,decision_tree,reduced_minus_full_baseline,pairwise_correlation_filter_natural,none_natural,recall,5,0.0,0.0,0.0,0.0,0.14933333333333332,0.14933333333333332,10.0,0.0,True,False,False,True
shipping_delivery_manipulation__r0p05__medium,shipping_delivery_manipulation,0.05,MEDIUM,decision_tree,reduced_minus_full_baseline,mutual_information_select_k_best_k11,none_natural,average_precision,5,-0.0001796981463113731,0.0005789017902844936,-0.0008984996578039056,0.0005391033651811594,0.04983721662591921,0.04965751847960783,5.0,0.36057018926278017,True,False,False,False
shipping_delivery_manipulation__r0p05__medium,shipping_delivery_manipulation,0.05,MEDIUM,decision_tree,reduced_minus_full_baseline,mutual_information_select_k_best_k11,none_natural,f1,5,-0.0042273660445444755,0.02534590064024255,-0.0356984583716084,0.027243726282519448,0.04995313683609929,0.04572577079155481,5.0,8.462663833133941,False,False,False,False
shipping_delivery_manipulation__r0p05__medium,shipping_delivery_manipulation,0.05,MEDIUM,decision_tree,reduced_minus_full_baseline,mutual_information_select_k_best_k11,none_natural,recall,5,-0.007333333333333333,0.021653842358548954,-0.03422012981274462,0.019553463146077952,0.14933333333333332,0.142,10.0,4.910714285714285,True,False,False,False
shipping_delivery_manipulation__r0p05__medium,shipping_delivery_manipulation,0.05,MEDIUM,logistic_regression,reduced_minus_full_baseline,pairwise_correlation_filter_natural,none_natural,average_precision,5,-7.779598945240052e-07,2.6529321757132547e-06,-4.072010266786154e-06,2.5160904777381435e-06,0.052726927835686666,0.05272614987579214,5.0,0.0014754508302659989,True,False,False,True
shipping_delivery_manipulation__r0p05__medium,shipping_delivery_manipulation,0.05,MEDIUM,logistic_regression,reduced_minus_full_baseline,pairwise_correlation_filter_natural,none_natural,f1,5,0.0,0.0,0.0,0.0,0.08982694328656964,0.08982694328656964,5.0,0.0,True,False,False,True
shipping_delivery_manipulation__r0p05__medium,shipping_delivery_manipulation,0.05,MEDIUM,logistic_regression,reduced_minus_full_baseline,pairwise_correlation_filter_natural,none_natural,recall,5,0.0,0.0,0.0,0.0,0.43133333333333335,0.43133333333333335,10.0,0.0,True,False,False,True
shipping_delivery_manipulation__r0p05__medium,shipping_delivery_manipulation,0.05,MEDIUM,logistic_regression,reduced_minus_full_baseline,mutual_information_select_k_best_k11,none_natural,average_precision,5,-0.003287367480380295,0.001332657950131047,-0.004942080878979358,-0.0016326540817812314,0.052726927835686666,0.049439560355306375,5.0,6.234703244279165,False,False,False,False
shipping_delivery_manipulation__r0p05__medium,shipping_delivery_manipulation,0.05,MEDIUM,logistic_regression,reduced_minus_full_baseline,mutual_information_select_k_best_k11,none_natural,f1,5,-0.001052257197569889,0.0034619250538470685,-0.005350804901414838,0.00324629050627506,0.08982694328656964,0.08877468608899974,5.0,1.1714271454311178,True,False,False,False
shipping_delivery_manipulation__r0p05__medium,shipping_delivery_manipulation,0.05,MEDIUM,logistic_regression,reduced_minus_full_baseline,mutual_information_select_k_best_k11,none_natural,recall,5,0.05799999999999998,0.026520432374554783,0.025070533903691572,0.09092946609630839,0.43133333333333335,0.4893333333333333,10.0,0.0,True,False,False,False
transaction_status_manipulation__r0p05__medium,transaction_status_manipulation,0.05,MEDIUM,decision_tree,reduced_minus_full_baseline,pairwise_correlation_filter_natural,none_natural,average_precision,5,0.0,0.0,0.0,0.0,0.04983721662591921,0.04983721662591921,5.0,0.0,True,False,False,True
transaction_status_manipulation__r0p05__medium,transaction_status_manipulation,0.05,MEDIUM,decision_tree,reduced_minus_full_baseline,pairwise_correlation_filter_natural,none_natural,f1,5,0.0,0.0,0.0,0.0,0.04995313683609929,0.04995313683609929,5.0,0.0,True,False,False,True
transaction_status_manipulation__r0p05__medium,transaction_status_manipulation,0.05,MEDIUM,decision_tree,reduced_minus_full_baseline,pairwise_correlation_filter_natural,none_natural,recall,5,0.0,0.0,0.0,0.0,0.14933333333333332,0.14933333333333332,10.0,0.0,True,False,False,True
transaction_status_manipulation__r0p05__medium,transaction_status_manipulation,0.05,MEDIUM,decision_tree,reduced_minus_full_baseline,mutual_information_select_k_best_k11,none_natural,average_precision,5,-0.0001796981463113731,0.0005789017902844936,-0.0008984996578039056,0.0005391033651811594,0.04983721662591921,0.04965751847960783,5.0,0.36057018926278017,True,False,False,False
transaction_status_manipulation__r0p05__medium,transaction_status_manipulation,0.05,MEDIUM,decision_tree,reduced_minus_full_baseline,mutual_information_select_k_best_k11,none_natural,f1,5,-0.0042273660445444755,0.02534590064024255,-0.0356984583716084,0.027243726282519448,0.04995313683609929,0.04572577079155481,5.0,8.462663833133941,False,False,False,False
transaction_status_manipulation__r0p05__medium,transaction_status_manipulation,0.05,MEDIUM,decision_tree,reduced_minus_full_baseline,mutual_information_select_k_best_k11,none_natural,recall,5,-0.007333333333333333,0.021653842358548954,-0.03422012981274462,0.019553463146077952,0.14933333333333332,0.142,10.0,4.910714285714285,True,False,False,False
transaction_status_manipulation__r0p05__medium,transaction_status_manipulation,0.05,MEDIUM,logistic_regression,reduced_minus_full_baseline,pairwise_correlation_filter_natural,none_natural,average_precision,5,-7.779598945240052e-07,2.6529321757132547e-06,-4.072010266786154e-06,2.5160904777381435e-06,0.052726927835686666,0.05272614987579214,5.0,0.0014754508302659989,True,False,False,True
transaction_status_manipulation__r0p05__medium,transaction_status_manipulation,0.05,MEDIUM,logistic_regression,reduced_minus_full_baseline,pairwise_correlation_filter_natural,none_natural,f1,5,0.0,0.0,0.0,0.0,0.08982694328656964,0.08982694328656964,5.0,0.0,True,False,False,True
transaction_status_manipulation__r0p05__medium,transaction_status_manipulation,0.05,MEDIUM,logistic_regression,reduced_minus_full_baseline,pairwise_correlation_filter_natural,none_natural,recall,5,0.0,0.0,0.0,0.0,0.43133333333333335,0.43133333333333335,10.0,0.0,True,False,False,True
transaction_status_manipulation__r0p05__medium,transaction_status_manipulation,0.05,MEDIUM,logistic_regression,reduced_minus_full_baseline,mutual_information_select_k_best_k11,none_natural,average_precision,5,-0.003287367480380295,0.001332657950131047,-0.004942080878979358,-0.0016326540817812314,0.052726927835686666,0.049439560355306375,5.0,6.234703244279165,False,False,False,False
