scenario_id,attack_type,attack_rate,attack_severity,configuration_id,comparison_type,classifier,reference_classifier,metric,paired_seed_count,mean_difference,std_difference,ci95_low,ci95_high,reference_configuration_id
shipping_delivery_manipulation__r0p05__medium,shipping_delivery_manipulation,0.05,MEDIUM,mutual_information_select_k_best_k11,logistic_regression_minus_decision_tree,logistic_regression,decision_tree,f1,5,0.04304891529744494,0.039827016143615106,-0.006402856804001357,0.09250068739889122,
shipping_delivery_manipulation__r0p05__medium,shipping_delivery_manipulation,0.05,MEDIUM,mutual_information_select_k_best_k11,logistic_regression_minus_decision_tree,logistic_regression,decision_tree,recall,5,0.3473333333333333,0.1292370775831078,0.18686430686519412,0.5078023598014725,
transaction_status_manipulation__r0p05__medium,transaction_status_manipulation,0.05,MEDIUM,none_natural,logistic_regression_minus_decision_tree,logistic_regression,decision_tree,average_precision,5,0.002889711209767462,0.004731719505665238,-0.002985494550020245,0.00876491696955517,
transaction_status_manipulation__r0p05__medium,transaction_status_manipulation,0.05,MEDIUM,none_natural,logistic_regression_minus_decision_tree,logistic_regression,decision_tree,f1,5,0.03987380645047035,0.042279727637743784,-0.012623409211218503,0.09237102211215921,
transaction_status_manipulation__r0p05__medium,transaction_status_manipulation,0.05,MEDIUM,none_natural,logistic_regression_minus_decision_tree,logistic_regression,decision_tree,recall,5,0.282,0.13831525986351292,0.1102589214251414,0.45374107857485857,
transaction_status_manipulation__r0p05__medium,transaction_status_manipulation,0.05,MEDIUM,pairwise_correlation_filter_natural,logistic_regression_minus_decision_tree,logistic_regression,decision_tree,average_precision,5,0.002888933249872938,0.004733816693581207,-0.002988876512647499,0.008766743012393375,
transaction_status_manipulation__r0p05__medium,transaction_status_manipulation,0.05,MEDIUM,pairwise_correlation_filter_natural,logistic_regression_minus_decision_tree,logistic_regression,decision_tree,f1,5,0.03987380645047035,0.042279727637743784,-0.012623409211218503,0.09237102211215921,
transaction_status_manipulation__r0p05__medium,transaction_status_manipulation,0.05,MEDIUM,pairwise_correlation_filter_natural,logistic_regression_minus_decision_tree,logistic_regression,decision_tree,recall,5,0.282,0.13831525986351292,0.1102589214251414,0.45374107857485857,
transaction_status_manipulation__r0p05__medium,transaction_status_manipulation,0.05,MEDIUM,mutual_information_select_k_best_k11,logistic_regression_minus_decision_tree,logistic_regression,decision_tree,average_precision,5,-0.00021795812430145945,0.004639339128565374,-0.005978458495703687,0.005542542247100768,
transaction_status_manipulation__r0p05__medium,transaction_status_manipulation,0.05,MEDIUM,mutual_information_select_k_best_k11,logistic_regression_minus_decision_tree,logistic_regression,decision_tree,f1,5,0.04304891529744494,0.039827016143615106,-0.006402856804001357,0.09250068739889122,
