classifier,configuration_id,scenario_id,attack_type,attack_rate,attack_severity,metric,count,mean,std,min,max,ci95_low,ci95_high
decision_tree,none_natural,mixed__r0p01__medium,mixed,0.01,MEDIUM,precision,5,0.08367657087177718,0.11454386773198394,0.012283894449499545,0.2857142857142857,-0.05854842590615414,0.2259015676497085
decision_tree,none_natural,mixed__r0p01__medium,mixed,0.01,MEDIUM,recall,5,0.31333333333333335,0.18272626764887662,0.1,0.55,0.08644870526739779,0.5402179613992689
decision_tree,none_natural,mixed__r0p01__medium,mixed,0.01,MEDIUM,f1,5,0.074959189664254,0.05003646518619981,0.023914968999114262,0.14814814814814814,0.01283071224512431,0.13708766708338369
decision_tree,none_natural,mixed__r0p01__medium,mixed,0.01,MEDIUM,average_precision,5,0.17556065494328219,0.039168715112355305,0.11023076442411844,0.20686394314981388,0.12692627153233224,0.22419503835423213
decision_tree,none_natural,mixed__r0p01__medium,mixed,0.01,MEDIUM,pr_auc_trapezoidal,5,0.2013510394775715,0.026977904940273,0.15586685336049216,0.2282203094255607,0.16785354616624443,0.23484853278889856
decision_tree,none_natural,mixed__r0p01__medium,mixed,0.01,MEDIUM,roc_auc,5,0.6001164421997756,0.03876695460458936,0.5632379349046015,0.6479868125701459,0.5519809103472191,0.648251974052332
decision_tree,none_natural,mixed__r0p01__medium,mixed,0.01,MEDIUM,TP,5,18.8,10.963576058932597,6.0,33.0,5.186922316043866,32.41307768395613
decision_tree,none_natural,mixed__r0p01__medium,mixed,0.01,MEDIUM,TN,5,5045.6,991.3217439358425,3769.0,5925.0,3814.711479917316,6276.488520082685
decision_tree,none_natural,mixed__r0p01__medium,mixed,0.01,MEDIUM,FP,5,894.4,991.3217439358425,15.0,2171.0,-336.48852008268466,2125.2885200826845
decision_tree,none_natural,mixed__r0p01__medium,mixed,0.01,MEDIUM,FN,5,41.2,10.963576058932597,27.0,54.0,27.586922316043868,54.81307768395614
decision_tree,none_natural,mixed__r0p01__medium,mixed,0.01,MEDIUM,attack_prevalence,5,0.01,0.0,0.01,0.01,0.01,0.01
decision_tree,none_natural,mixed__r0p01__medium,mixed,0.01,MEDIUM,visible_feature_attack_count,5,34.0,0.0,34.0,34.0,34.0,34.0
