stage,classifier,configuration_id,phase,metric,unit,seed_count,mean_of_seed_means,std_of_seed_means,min_of_seed_means,max_of_seed_means,feature_count,input_dataframe_memory_bytes,numpy_dense_nbytes,serialized_model_bytes,measurement_provenance,aggregation_hierarchy
V0.9-F,decision_tree,BPSO-K10,inference,incremental_peak_rss_mib,MiB,5,0.4225,0.02236067977499789,0.4,0.45,10,480132,480000,3092,DIRECT_COMPUTATIONAL,seeds_are_scientific_units_ten_repetitions_nested
V0.9-F,decision_tree,BPSO-K10,inference,inference_latency_sec,seconds,5,0.0020621767170700875,0.00016127002089390852,0.0018668285150369001,0.0023053766255799247,10,480132,480000,3092,DIRECT_COMPUTATIONAL,seeds_are_scientific_units_ten_repetitions_nested
V0.9-F,decision_tree,BPSO-K10,inference,monotonic_elapsed_sec,seconds,5,13.365407468480118,0.48587657548351965,12.848929262299498,13.951647989699268,10,480132,480000,3092,DIRECT_COMPUTATIONAL,seeds_are_scientific_units_ten_repetitions_nested
V0.9-F,decision_tree,BPSO-K10,inference,per_record_latency_sec,seconds,5,3.4369611951168127e-07,2.687833681565141e-08,3.1113808583948335e-07,3.842294375966541e-07,10,480132,480000,3092,DIRECT_COMPUTATIONAL,seeds_are_scientific_units_ten_repetitions_nested
V0.9-F,decision_tree,BPSO-K10,inference,process_cpu_time_sec,seconds,5,1.08373993754,0.08643271704361533,0.9790717685000001,1.2136910866000001,10,480132,480000,3092,DIRECT_COMPUTATIONAL,seeds_are_scientific_units_ten_repetitions_nested
V0.9-F,decision_tree,BPSO-K10,inference,standby_gap_sec,seconds,5,9.759244858287273e-07,1.2377215300272896e-07,8.452028851024807e-07,1.1516123777255415e-06,10,480132,480000,3092,DIRECT_COMPUTATIONAL,seeds_are_scientific_units_ten_repetitions_nested
V0.9-F,decision_tree,BPSO-K10,inference,throughput_records_sec,records/second,5,3011769.926277959,134152.51028478175,2860584.52532983,3228963.577742194,10,480132,480000,3092,DIRECT_COMPUTATIONAL,seeds_are_scientific_units_ten_repetitions_nested
V0.9-F,decision_tree,BPSO-K10,inference,wall_clock_elapsed_sec,seconds,5,13.365408444404602,0.48587668854403304,12.848930144309998,13.951649141311645,10,480132,480000,3092,DIRECT_COMPUTATIONAL,seeds_are_scientific_units_ten_repetitions_nested
V0.9-F,decision_tree,BPSO-K10,inference,wall_time_sec,seconds,5,1.0558344791398848,0.08257025069768116,0.9558161996988929,1.1803528322969215,10,480132,480000,3092,DIRECT_COMPUTATIONAL,seeds_are_scientific_units_ten_repetitions_nested
V0.9-F,decision_tree,BPSO-K10,training,absolute_peak_rss_mib,MiB,5,156.154453125,0.11657640144149013,156.02890625,156.309765625,10,2240132,2240000,3092,DIRECT_COMPUTATIONAL,seeds_are_scientific_units_ten_repetitions_nested
V0.9-F,decision_tree,BPSO-K10,training,incremental_peak_rss_mib,MiB,5,2.63,0.006846531968814674,2.625,2.6375,10,2240132,2240000,3092,DIRECT_COMPUTATIONAL,seeds_are_scientific_units_ten_repetitions_nested
V0.9-F,decision_tree,BPSO-K10,training,inference_latency_sec,seconds,5,0.03646374475996709,0.003669350803519425,0.03229764549905667,0.04216024100023787,10,2240132,2240000,3092,DIRECT_COMPUTATIONAL,seeds_are_scientific_units_ten_repetitions_nested
V0.9-F,decision_tree,BPSO-K10,training,monotonic_elapsed_sec,seconds,5,12.915535666100041,1.1349039232016687,11.886833830097748,14.643289809401903,10,2240132,2240000,3092,DIRECT_COMPUTATIONAL,seeds_are_scientific_units_ten_repetitions_nested
V0.9-F,decision_tree,BPSO-K10,training,per_record_latency_sec,seconds,5,1.302276598570253e-06,1.3104824298283666e-07,1.153487339252024e-06,1.5057228928656385e-06,10,2240132,2240000,3092,DIRECT_COMPUTATIONAL,seeds_are_scientific_units_ten_repetitions_nested
V0.9-F,decision_tree,BPSO-K10,training,process_cpu_time_sec,seconds,5,0.03756010975999999,0.003941826905025347,0.033114587099999995,0.04367568739999998,10,2240132,2240000,3092,DIRECT_COMPUTATIONAL,seeds_are_scientific_units_ten_repetitions_nested
V0.9-F,decision_tree,BPSO-K10,training,standby_gap_sec,seconds,5,9.807429159991443e-07,1.2954928179496957e-07,8.43693851493299e-07,1.1871496099047363e-06,10,2240132,2240000,3092,DIRECT_COMPUTATIONAL,seeds_are_scientific_units_ten_repetitions_nested
V0.9-F,decision_tree,BPSO-K10,training,throughput_records_sec,records/second,5,785377.1119702574,65054.53875941984,696115.8089619816,870258.5384149421,10,2240132,2240000,3092,DIRECT_COMPUTATIONAL,seeds_are_scientific_units_ten_repetitions_nested
V0.9-F,decision_tree,BPSO-K10,training,wall_clock_elapsed_sec,seconds,5,12.915536646842957,1.1349040171750218,11.88683478832245,14.643290996551514,10,2240132,2240000,3092,DIRECT_COMPUTATIONAL,seeds_are_scientific_units_ten_repetitions_nested
V0.9-F,decision_tree,BPSO-K10,training,wall_time_sec,seconds,5,0.03646374475996709,0.003669350803519425,0.03229764549905667,0.04216024100023787,10,2240132,2240000,3092,DIRECT_COMPUTATIONAL,seeds_are_scientific_units_ten_repetitions_nested
V0.9-F,decision_tree,K42,inference,absolute_peak_rss_mib,MiB,5,156.77703125,0.11434288366114055,156.624609375,156.91953125,42,2016132,2016000,3780,DIRECT_COMPUTATIONAL,seeds_are_scientific_units_ten_repetitions_nested
